Time for Encryption: 161ms
Time for Decryption: 137ms
Time for Linear Encryption: 6ms
Time for Linear Decryption: 5957ms
Time for Linear Encryption: 13443ms
Time for Linear Decryption: 8ms
Time for Linear Encryption: 4ms
Time for Linear Decryption: 7ms
Time for Linear Encryption: 6ms
Time for Linear Decryption: 7ms
Time for Quad Encryption: 15580ms
Time for Quad Encryption: 14604ms
Time for Quad Encryption: 14523ms
Time for Quad Decryption: 17ms
Time for Quad Encryption: 16347ms
Time for Quad Encryption: 16405ms
Time for Quad Encryption: 16353ms
Time for Quad Encryption: 16189ms
Time for Quad Decryption: 2501ms
Time for Encryption: 201ms
Time for Decryption: 187ms
Time for Random Encryption: 22141ms
Time for Random Encryption: 6ms
Time for Random Encryption: 12ms
Time for Random Encryption: 13ms
Time for Random Encryption: 14ms
Time for Random Decryption: 14ms
Time for Random Encryption: 27ms
Time for Random Encryption: 11ms
Time for Random Decryption: 18398ms
Time for Random Encryption: 15ms
Time for Random Decryption: 11ms
Time for Random Encryption: 11ms
Time for Random Decryption: 8ms
Time for Random Encryption: 11ms
Time for Random Decryption: 31ms
Time for Random Encryption: 12ms
Time for Random Decryption: 18ms
Time for Random Encryption: 15ms
Time for Random Decryption: 61ms
